reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,content_cleaned
4c5a4386-c51c-45fd-b971-0648ca1e8fda,Adel Bayang,https://play-lh.googleusercontent.com/a-/ALV-UjWv4EbS-2zUcAwF79JB-k2K6XDcr8ju0o6Lao21U07TWecaO8Lb,supercell more like superass like seriously u cant win at all the game gives u a counter to ur deck every single mf game or worse give u a p2w that spams emotes and the fact is the whole game is p2w its either pay or lose so dont play and if i had to rate this it would actualy be 0 stars and the only way to actualy have a chance is to play megaknight people complain its op but if other players would p2w theres no choice abosulute bs just play clash of clans or smt at least coc is not p2w,1,1,130300006,2025-11-30 07:10:53,,,130300006,supercell like superass like seriously cant win game give counter deck every single game bad give spam emotes fact whole game either pay lose dont play rate would actualy star way actualy chance play megaknight people complain player would theres choice abosulute play clash clan smt least coc
5edcfa7b-d1f8-4974-910c-131205aa6638,Kit Mannion,https://play-lh.googleusercontent.com/a-/ALV-UjXuFvz591ozbP8TI4sa9bei2KEIZBT4LHgFlB8HYvgaYc8E86Nk,supercell just halved progression and took away in game content. this is the worst game I've ever played. update: they just halved progression again. I wish I could take away stars as 1 star was far too generous.,1,20,130300006,2025-11-30 07:10:21,,,130300006,supercell halve progression take away game content bad game ive ever play update halve progression wish could take away star star far generous
22961c43-cd06-4060-b42f-85a9f9b38e55,Brenda Sibrian,https://play-lh.googleusercontent.com/a-/ALV-UjXnipKJ6LrNA03tm0cQ1XzE1Bl5to_o55gkF8txPjx3ZVLf-0U74w,a good game if your bored,5,0,130300006,2025-11-30 07:09:43,,,130300006,good game bore
825e4154-ce3a-49d5-a827-241d5c3bed12,Mohamed Amine,https://play-lh.googleusercontent.com/a/ACg8ocLanPfEXxRBIRkOaRL0r0N92oRBInr91t9gxoeJj_78NC0GrQ=mo,A greedy company turned it into a pay-to-win game,1,1,,2025-11-30 07:06:11,,,,greedy company turn paytowin game
c7348267-06fc-4e3f-861d-3d6382175e50,Muhammad Yasin Fadayi,https://play-lh.googleusercontent.com/a-/ALV-UjWaST_YPC9_RauetiFvV5NV6GLP03noVHsP1V1l6wQNgE1rrfx1,is the best,5,0,130300006,2025-11-30 06:47:51,,,130300006,best
7b0e0440-08a6-4fcd-9b95-5f8c6eab28d8,Fatima del Rosario De Paz Zarate,https://play-lh.googleusercontent.com/a-/ALV-UjVpUwmOS1GNhikDUQr6cjse5lHS6gdUJxj2oynLqk3hj0CsVmQs,buen juego,5,0,130300006,2025-11-30 06:47:39,,,130300006,buen juego
0260e668-e65d-4ea7-9497-bb35a19eaeb0,samuel,https://play-lh.googleusercontent.com/a-/ALV-UjU5ZeTr2hTqBbyulijDTQ40Ez5oXLpwdmks_g0zrq-WMu84Lpw,"It is a good game, there is nothing more to say.",5,0,130300002,2025-11-30 06:47:12,,,130300002,good game nothing say
02c44950-b6f3-4c5c-8351-0c7cb2dde853,Nathan Reid,https://play-lh.googleusercontent.com/a-/ALV-UjVq9CreRTPAmUVSzlR0I7GOyr6NrahL-XUZvaY02HmsItkdwEQ,this game is a living hell hole,5,1,130300006,2025-11-30 06:44:10,,,130300006,game living hell hole
ba597755-e2f3-4428-ac90-bf72729afd87,Darius Wallis,https://play-lh.googleusercontent.com/a-/ALV-UjWpop8ePl3GHCvLGIB9OhtH6ZflNA5U3xiiA7VooBsWJqrEO_Mc,Can't get past 10k thropies unless you have gay deck or deep pockets,1,0,130300006,2025-11-30 06:42:37,,,130300006,cant get past thropies unless gay deck deep pocket
dbf7ef37-e138-4f54-98a6-084103a9d758,Louis Evangelista,https://play-lh.googleusercontent.com/a/ACg8ocKWY1XSaXhERLV14oWc0ncjGNVst5t55hchbbkd5F85J9tIjQ=mo,very fun and action packed game 🎮,5,0,130300006,2025-11-30 06:42:20,,,130300006,fun action pack game
